id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime3059DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime6089DaysPastDueNotWorse,NumberOfDependents
100,0,0.032617977,75,0,0.006799093000000001,7500.0,4,0,0,0,0.0
1000,0,0.352989385,59,1,0.43955635,13433.0,18,0,2,0,2.0
100009,1,0.483891009,48,0,1.6155796269999998,4338.0,13,0,3,0,1.0
100023,1,1.018145908,38,0,0.243199529,6800.0,11,0,0,1,0.0
100024,1,0.853132676,52,3,1.035396156,4265.0,11,2,1,4,1.0
100044,1,0.9999998999999999,64,0,0.075817538,4800.0,2,0,0,1,0.0
100055,1,0.072377187,53,0,1654.0,12000.0,9,0,2,0,0.0
100084,1,0.989263236,49,1,0.154169955,3800.0,9,1,1,0,1.0
100096,1,0.715222349,50,2,1.094740839,5266.0,7,0,1,0,4.0
1001,0,0.6669486960000001,56,0,0.185055253,5700.0,7,0,0,0,0.0
10013,1,0.929071395,47,2,0.378209743,4166.0,8,0,1,0,3.0
100138,1,0.015025403,56,0,3359.0,4800.0,12,0,2,0,1.0
10014,1,0.662889141,41,0,0.296837895,8000.0,7,0,1,1,0.0
100164,1,0.7631841779999999,60,3,0.509782726,9250.0,16,0,2,0,1.0
100168,1,0.34791614600000004,69,1,485.0,10000.0,5,0,0,0,0.0
100174,1,0.9999998999999999,82,0,0.0,6000.0,1,0,0,0,0.0
1002,0,0.181442474,32,0,0.067877957,8750.0,2,0,0,0,0.0
100236,1,1.228506141,30,0,0.31884058,2000.0,6,0,0,0,0.0
100259,1,0.9999998999999999,67,0,0.12143928,2000.0,1,3,0,1,0.0
100264,1,0.0,53,0,0.036316472,3083.0,3,0,0,0,0.0
100277,1,0.684075221,55,0,3825.0,3807.0,17,0,2,0,2.0
100297,1,0.9999998999999999,49,1,0.175075564,4300.0,2,1,0,0,3.0
100308,1,0.9999998999999999,30,1,0.146083614,2080.0,1,0,0,0,0.0
10033,1,1.15942029,36,0,0.013664388999999999,6000.0,1,2,0,0,1.0
100349,1,1.313373253,32,1,0.005065315999999999,3750.0,3,1,0,0,2.0
100351,1,0.896123151,35,1,0.444711058,5000.0,10,0,1,0,4.0
100353,1,0.9999998999999999,42,1,0.110851506,3851.0,1,1,0,0,2.0
100389,1,1.054908486,41,2,0.340797086,9333.0,6,1,1,1,3.0
1004,0,0.093632815,68,0,0.306846806,4366.0,6,0,2,0,0.0
10040,1,0.011478065,42,0,0.32794954600000004,6500.0,6,0,1,0,0.0
100421,1,0.999750062,41,1,1287.0,3522.0,2,1,1,1,0.0
100437,1,0.38205980100000003,62,1,0.28260193,3212.0,4,0,1,2,0.0
100445,1,0.906541044,38,1,2560.0,8000.0,15,0,2,0,0.0
100482,1,1.132116471,43,0,0.031643336,8500.0,5,0,0,0,2.0
100491,1,0.044187927,28,0,0.045763212000000004,3386.0,7,0,0,0,0.0
100498,1,0.9999998999999999,32,0,0.066438176,3792.0,5,2,0,0,0.0
1005,0,0.0,50,0,0.0,6250.0,4,0,0,0,0.0
100510,1,1.130310603,28,1,0.23155368899999998,3333.0,6,0,0,0,0.0
100534,1,0.8231585929999999,40,0,1629.0,12500.0,10,0,0,1,0.0
100557,1,0.0,28,0,62.0,6326.0,1,2,0,1,0.0
100564,1,0.927253922,28,3,0.095057034,1840.0,6,0,0,0,0.0
100568,1,0.908836966,52,1,0.868648305,11000.0,13,0,3,0,4.0
100578,1,0.11523863599999999,44,0,0.682399647,6800.0,20,0,1,0,2.0
100579,1,1.118453628,48,0,0.038192362,5000.0,5,1,0,0,3.0
100588,1,0.7085828340000001,27,1,0.290903032,3000.0,7,2,0,0,0.0
1006,0,0.47901313700000003,36,0,0.531659631,4500.0,14,0,1,0,2.0
100615,1,0.0731158,57,0,0.254553246,14000.0,12,0,3,0,0.0
10062,1,0.9145122370000001,44,2,0.496687229,4376.0,3,2,0,0,1.0
100633,1,0.5155721910000001,66,0,0.582284173,6671.0,11,0,1,0,0.0
10068,1,0.159993044,49,0,0.27182044899999996,400.0,3,0,0,0,0.0
1007,0,0.257067036,37,0,0.291809152,6140.0,6,0,0,0,4.0
100700,1,0.9999998999999999,40,0,0.8945527240000001,2000.0,3,3,1,3,0.0
100707,1,0.6497133620000001,34,0,0.37170652600000004,7400.0,15,0,1,0,0.0
100734,1,0.9586278229999999,53,1,0.501597444,1251.0,4,0,0,0,0.0
100750,1,0.191577578,29,0,0.5219769089999999,4936.0,9,0,2,0,2.0
100760,1,0.543948195,67,1,1048.0,0.0,4,1,1,1,0.0
100791,1,0.817471139,49,4,0.823552658,5060.0,9,1,5,0,2.0
100793,1,0.9999998999999999,32,0,0.026263165,7500.0,3,1,0,0,0.0
1008,0,0.02403549,63,0,19.0,3500.0,2,0,0,0,0.0
100869,1,0.329877908,48,0,0.402533374,13183.0,7,0,2,0,2.0
100872,1,0.573821582,26,0,0.141716567,5510.0,9,0,0,0,1.0
100876,1,0.9999998999999999,29,0,58.0,0.0,2,0,0,0,0.0
1009,0,0.9999998999999999,42,0,0.217236784,2250.0,1,0,0,0,2.0
100906,1,0.691900948,39,0,0.43293266700000005,9400.0,5,0,1,0,0.0
100910,1,0.975041597,34,3,0.119180088,3414.0,15,0,0,0,3.0
100913,1,0.138749881,61,0,0.214430482,7400.0,16,1,1,0,0.0
100918,1,0.730531912,57,0,0.541078487,7083.0,11,0,1,0,3.0
100942,1,0.322190835,31,2,0.049708605,2916.0,6,0,0,0,0.0
100994,1,0.566168052,41,0,0.741769673,8170.0,10,0,2,0,0.0
101,0,0.013024673999999998,61,0,15.0,9300.0,4,0,0,0,0.0
1010,0,0.0018904579999999998,47,3,0.268693009,6579.0,15,0,2,2,1.0
101019,1,1.00119976,32,0,2569.0,3100.0,9,1,1,2,0.0
101028,1,0.44246554899999996,62,0,0.285027918,7700.0,11,0,1,0,1.0
101031,1,1.115884116,42,0,0.517814288,5416.0,5,0,1,0,2.0
101059,1,0.9999998999999999,32,0,0.0,5000.0,1,0,0,0,0.0
101066,1,0.025153342999999998,89,0,0.0016798660000000001,8333.0,3,0,0,0,0.0
101078,1,0.949296865,33,3,0.140732408,8000.0,5,1,0,2,0.0
101079,1,0.055916327,43,0,0.47960163200000006,8333.0,7,0,1,0,1.0
101090,1,1.068965517,45,0,0.28345030600000004,4416.0,2,2,0,1,2.0
1011,0,0.399033876,32,0,0.433893685,2200.0,7,0,0,0,0.0
101100,1,1.0062041,54,2,0.7278694790000001,15690.0,15,0,2,0,3.0
101101,1,0.16354099800000002,76,0,0.110845468,4600.0,4,0,0,0,0.0
101114,1,0.898550725,46,2,0.7387939370000001,3100.0,17,0,1,0,2.0
101115,1,0.351737741,63,0,928.0,1.0,17,0,2,0,0.0
101128,1,1.0070758340000001,58,1,1970.0,8000.0,4,7,0,2,0.0
101142,1,0.676928671,41,1,0.449091818,6000.0,11,0,2,0,1.0
101144,1,0.565790638,53,0,0.073571203,6333.0,15,0,0,0,2.0
101158,1,0.0,25,0,0.0,897.0,4,0,0,0,0.0
101167,1,0.856478431,47,0,1.3099225190000001,4000.0,16,0,2,0,0.0
101181,1,0.0,44,0,0.242237888,13333.0,15,0,2,0,1.0
10119,1,0.9999998999999999,31,0,0.017414766,4076.0,1,0,0,0,0.0
1012,0,0.9999998999999999,31,0,0.047961631,3335.0,2,0,0,1,4.0
101221,1,0.7206567159999999,68,0,1473.0,2510.0,13,0,0,0,0.0
101244,1,0.177257136,51,0,0.432995976,8200.0,14,0,2,0,4.0
101265,1,0.682764363,46,0,1462.0,8900.0,5,1,1,0,0.0
10127,1,0.595152206,40,0,1501.0,3600.0,5,0,1,0,1.0
101280,1,0.819911869,55,1,0.7363465159999999,2123.0,18,0,1,0,1.0
101284,1,0.145230201,48,0,0.423934608,12600.0,19,0,2,1,1.0
101294,1,1.119920053,36,0,0.166798211,3800.0,4,0,0,0,0.0
1013,0,0.24593085399999998,39,0,0.537720414,5500.0,11,0,1,0,1.0
101306,1,0.7861725070000001,38,0,5227.0,6096.0,19,0,2,0,3.0
101307,1,0.070117666,32,0,2059.0,4250.0,15,0,1,0,0.0
101308,1,0.888211179,53,7,0.478577674,3430.0,13,3,1,4,0.0
10131,1,0.015321403,37,2,0.23371006,7166.0,16,0,2,0,0.0
101320,1,0.6621388429999999,65,1,0.24183775,11056.0,8,0,2,0,3.0
101322,1,0.023198102999999998,33,0,0.398042075,4800.0,5,0,1,0,1.0
101323,1,0.817204301,36,2,0.27683197600000004,1350.0,9,0,0,0,1.0
101329,1,0.9586394970000001,42,2,0.19877097600000002,4230.0,11,0,0,1,2.0
101333,1,0.9999998999999999,30,0,0.076863951,1300.0,3,0,0,1,0.0
1014,0,0.003957859,52,0,2574.0,14183.0,11,0,1,0,2.0
10140,1,0.9999998999999999,34,2,0.102748691,4583.0,5,1,0,1,3.0
101422,1,0.032101627,66,0,0.372868954,13666.0,7,1,1,0,1.0
101424,1,0.8282680459999999,42,4,9638.0,3750.0,14,0,4,1,1.0
101453,1,0.96940306,44,0,0.350359959,5833.0,4,0,1,0,4.0
101474,1,0.217953902,51,0,0.451726746,11900.0,18,1,2,1,0.0
101489,1,0.8939005640000001,37,1,0.096197595,3076.0,4,1,0,0,0.0
101495,1,0.9999998999999999,53,6,2462.0,6000.0,4,2,1,1,0.0
101498,1,0.6296170329999999,46,5,0.408518296,5000.0,13,1,2,0,0.0
1015,0,0.408690635,46,0,1.055195584,4166.0,12,0,2,0,0.0
101505,1,1.108420351,48,0,0.16522041,2880.0,4,2,0,2,2.0
101513,1,0.905475145,46,0,0.790463169,5850.0,16,0,3,0,1.0
101518,1,0.816980319,35,3,0.8107983390000001,6500.0,11,0,1,0,2.0
101526,1,0.9999998999999999,53,1,758.0,6667.0,3,0,0,0,1.0
10153,1,0.044665012000000004,37,0,1.232010467,4585.0,9,0,2,0,0.0
101532,1,0.8818082309999999,80,1,2618.0,4186.0,10,0,1,1,0.0
101539,1,0.829349586,53,1,906.0,1.0,18,0,0,0,0.0
10154,1,1.054310073,53,10,0.331619537,3500.0,7,3,0,1,0.0
101550,1,1.017137961,49,4,0.723868388,5500.0,6,3,1,2,0.0
101591,1,0.9999998999999999,34,1,0.005998001,3000.0,0,3,0,0,0.0
1016,0,0.8973690390000001,57,0,2910.0,3369.0,16,0,0,0,0.0
101602,1,0.735627921,41,1,1.008330556,3000.0,4,0,2,0,0.0
101604,1,0.172321257,48,0,0.668495029,2916.0,7,0,1,0,0.0
101633,1,0.511395442,30,0,0.205544287,1478.0,2,0,0,0,0.0
101645,1,0.9999998999999999,27,0,0.154342845,4800.0,4,1,0,0,0.0
101648,1,0.521113305,50,1,0.478695585,6500.0,11,1,2,0,3.0
101667,1,0.563502072,50,3,0.6722979459999999,5208.0,8,1,1,0,0.0
1017,1,0.017558727,47,0,0.53540175,2513.0,10,1,1,0,0.0
101741,1,1.368259535,51,2,228.0,7900.0,4,1,0,3,0.0
10175,1,0.323345818,45,4,0.518644865,8500.0,10,0,2,0,1.0
101750,1,0.143098514,88,4,0.13655814,10749.0,8,0,1,0,0.0
10179,1,0.052528199000000005,36,1,0.261836202,14932.0,11,0,1,0,2.0
1018,0,0.11542851900000001,41,0,0.278969295,6480.0,12,1,1,1,0.0
101803,1,0.350230415,41,0,0.43659007200000005,5700.0,10,0,2,0,1.0
101820,1,0.84935242,42,1,0.156409687,4500.0,5,2,0,0,2.0
101830,1,0.8803122959999999,37,1,0.132509142,5742.0,9,0,0,0,2.0
101832,1,0.998023332,49,1,0.52956743,9824.0,9,1,4,1,0.0
